2026-06-25 17:47:00,792 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-06-25 17:47:00,821 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-06-25 17:47:00,824 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-06-25 17:47:00,824 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-06-25 17:47:00,825 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-06-25 17:47:00,825 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-06-25 17:47:00,826 INFO  SwAddin.cs: 201 - Setting up command manager
2026-06-25 17:47:00,826 INFO  SwAddin.cs: 204 - Adding command manager
2026-06-25 17:47:00,828 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-06-25 17:47:00,829 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-06-25 17:47:00,830 INFO  SwAddin.cs: 210 - Adding event handlers
2026-06-25 17:47:00,969 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-06-25 18:15:10,567 INFO  SwAddin.cs: 294 - Assembly export called for file jqr.SLDASM
2026-06-25 18:15:10,570 INFO  SwAddin.cs: 299 - Save is required
2026-06-25 18:15:10,570 INFO  SwAddin.cs: 313 - Saving assembly
2026-06-25 18:15:12,056 INFO  SwAddin.cs: 316 - Opening property manager
2026-06-25 18:15:12,069 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from jqr.SLDASM
2026-06-25 18:15:12,094 INFO  ExportHelperExtension.cs: 1136 - Found 116 in jqr.SLDASM
2026-06-25 18:15:12,095 INFO  ExportHelperExtension.cs: 1145 - Found 14 features of type [CoordSys] in jqr.SLDASM
2026-06-25 18:15:12,096 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-06-25 18:15:12,097 INFO  ExportHelperExtension.cs: 1160 - 14 components to check
2026-06-25 18:15:12,098 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from l_jian_3^jqr-1
2026-06-25 18:15:12,098 INFO  ExportHelperExtension.cs: 1136 - Found 31 in l_jian_3^jqr-1
2026-06-25 18:15:12,099 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in l_jian_3^jqr-1
